sentence,intent
Alo chị oei,greet
Alo????,greet
Dạ e cảm ơn c nhìu nha,thank
Vâng để e tham khảo đã a.,agree
Alo e ơiii,greet
Uh đúng rồi em,agree
bot hay nhan vien vay,ask_is_bot
set này giá bao nhiêu b,query_knowledge_base
Vâng ak mình cảm ơn,thank
Alo nan oi,greet
ừ.taij mình k để ý.,agree
Vâng ạ. Bạn tư vấn thế thì mình hiểu rồi ạ,agree
Đứng rồi bamboo b oi,agree
Vâng cậu. Làm chờ cả tuần nay,agree
Shop ơi mình đặt ấm này,query_knowledge_base
ngựa này chất liệu gì hả b?,query_knowledge_base
em có link shoppe xe tập đi ko,query_knowledge_base
Em cảm ơn chị. May quá😅😅😅,thank
cái này có bảo hành ko bạn nhỉ,query_knowledge_base
Da cam ơn shop,thank
Đung roi a,agree
Aloo?,greet
xe màu vàng chất liệu thế nào e,query_knowledge_base
Da minh cam on shop,thank
e ko thích dạng kiểu trônga,disagree
Cảm ơn shop. Mình bàn bạc với vợ rồi liên hệ lại với shop ạ,thank
Thanks bạn nhiều ạ,thank
Cái máy tiệt trùng ý,query_knowledge_base
Alo chj oi,greet
Ko thích hoạ tiết shop nhé,disagree
báo giá giúp mình với cho m xem các mẫu gh  ô tô,query_knowledge_base
thảm gấp m k thích,disagree
Hi sh,greet
e ck ui,greet
Shop ơi chatbot à?,ask_is_bot
Ok shop nha. Cám ơn ạk,thank
ko phải mẫu tích hợp ghếp,disagree
bể bơi có hàng chưa,query_knowledge_base
Okie ạ e lấy hai thanh màu xanh,query_knowledge_base
Chị thủy ơi,greet
Đúng rồi b àh ^^,agree
ừa tớ thích cái đấy,agree
Alo shop oieiii,greet
Nhưng k thích dáng 😢,disagree
Ghe nay còn màu hồng thì mình lấy 1 cái nhe shop,query_knowledge_base
Thank B nhoeeuf,thank
oh cám ơn b hum nào vk ck mình qua shop xem ạ,thank
Ko phải free ship,disagree
dạ mình cảm ơn b nha,thank
Màu denim giả bò ấy bạn ?,query_knowledge_base
Hi dc nak,greet
bot hay người?,ask_is_bot
hi shop,greet
shop oi chatbot hay nvien vậy ah?,ask_is_bot
Chii oi,greet
Aloo b ơii,greet
có bảo hành ko hả b,query_knowledge_base
Đúng rồi shô,agree
"ừm k sao nhé, nhầm lẫn là chuyện bình thường",agree
M ko thich bóng rổ,disagree
Ak dạ vâng,agree
C oiq,greet
Mh cảm ơn sh,thank
mình ko thích mẫu nè hihi,disagree
Ah b ơi đúng rồi b ah,agree
Alo c ợ,greet
E cám ơn shop nhiều ạ,thank
Mak sh ơi,greet
chứ ko phải của mastale ạ,disagree
Dạ. Cái này nặng ko ạ. Tiền ship khoảng bn ạ.,query_knowledge_base
Ukm đúng rồi bạn ạ,agree
alo b ui,greet
Aloalo alo,greet
vâng. đúng r ạ,agree
Ô tô là cái này phải ko shop,query_knowledge_base
ALO AK,greet
Alo em???,greet
ko phải bạn ơi,disagree
aloo?,greet
E k thích đầu con ngực,disagree
Alo cau iu,greet
Alooo b ơiiiii,greet
Aloalo,greet
alo T ơi,greet
Ghế matola bao tiền bạn,query_knowledge_base
Hi a,greet
"Cám ơn sh nhiều ạ, làm phiền sh quá ạ",thank
Đúng rồi,agree
của hãng nào vậy ah,query_knowledge_base
Nên k thích lắm,disagree
Thê đê mjh qua xem trực tiếp .mjh cam on,thank
Alo ạ 😖,greet
M cảm ơn ạ.,thank
Mình ko thích mẫu 5 in 1  này.  Màu sắc ko đẹp,disagree
vậy cảm ơn shop nhé,thank
B ơi ship mình 1 ghế newber đen trắng nhea,query_knowledge_base
Alo c owi,greet
Chứ ko phải t bóc đâu,disagree
Oke tớ cảm ơn,thank
Mình lấy 1 cái màu ghi,query_knowledge_base
hi ad,greet
Đúng rôi shop,agree
Chắc silicon nặng lắm nhỉ,query_knowledge_base
còn màu j thế bạn,query_knowledge_base
alo b oi,greet
Ngựa hồng bập benh còn giá khuyến mãi hk sh,query_knowledge_base
M lấy màu hồng b nhé,query_knowledge_base
Alo Chị,greet
Cảm ơn em ^ ^,thank
Dạ vâng đúng địa chỉ này ạ,agree
Đúng rồi bank,agree
Be cậu ơi,greet
Alo shop. Ơi,greet
Chất liệu nhựa Ha shop,query_knowledge_base
"vâng ạ, thế chắc e lấy sau ạ",agree
Shop oi chatbot hay nhan vien vay ah?,ask_is_bot
Mình k thích màu này lắm,disagree
Ko phải là e hiểu lầm,disagree
Vâng đc chị,agree
"Da, e cảm ơn",thank
Chatbot hay người thế?,ask_is_bot
Ơ shop ơi?,greet
dạ vâng thế e tự thiết kế màn cũng đc ạ,agree
ừa bạn ạ,agree
Okie minh cam on,thank
Alo ban oi,greet
Cái đó bọc ghế là da hay vải hả cậu,query_knowledge_base
Mình k thích mẫu này,disagree
đung roi,agree
Cái thảm thì sao hử cậu,query_knowledge_base
cái xe đẩy aprica n u có vđ j thì bảo hành ntn,query_knowledge_base
vâng để mk bảo e mình,agree
Mình k muốn lấy thấm sữa,disagree
Hị hị,greet
Giường kèm nệm luôn là bn vậy ạ,query_knowledge_base
mk đag chat voi ng hay bot the?,ask_is_bot
màu đen thì t ko thích lắm,disagree
máy pha sữa của nước nào e,query_knowledge_base
auto trả lời?,ask_is_bot
xhop oi,greet
"Cám ơn shop, mình sẽ đo lại và ib cho shop sau nhé",thank
b ơi cái gh  ăn teknum ấy,query_knowledge_base
"Vâng, oki chị :(((
Em lại cứ đợi mấy hôm nay",agree
vâng ok bạn,agree
K phải cái máy hấp ạ,disagree
alo S ơi,greet
"ok à, cảm ơn bạn nhiều nha",thank
Shop de tra loi tu dong ah?,ask_is_bot
Vâng ạ mai c nhé,agree
chatbot hay người?,ask_is_bot
nvien hay chatbot vậy?,ask_is_bot
Thảm gấu ôm mặt trăng còn k shop,query_knowledge_base
Ok thanks shop 👍,thank
thanks :-*,thank
OK bạn!  Cảm ơn bạn nhiều nhé,thank
M cảm ơn a,thank
Da vâng a,agree
Oki mình cám ơn shop,thank
ok cam on em nhe,thank
Oạch C ơi,greet
Aloo shop oi,greet
Hi Shop!,greet
Aloe shop ơi,greet
"Không phải loại này, loại mà đợt trước shop báo giá hơn 500k cơ",disagree
Ko phai đâu cậu,disagree
Oko thanks shop,thank
wow cảm ơn b.,thank
Hì uki,greet
Hi cậu,greet
"Ờ để m suy nghĩ lại đã, cảm ơn shop nha",thank
chatbot a sh ơi?,ask_is_bot
b gửi hình mâuz gh  graco có sẵn cho mình xem nhé,query_knowledge_base
"ok, cám ơn b nhé",thank
Mình là mẹ bé ko phải ba của bé. He he,disagree
Alo e,greet
Ko phải tiếng máy hút,disagree
Vâng ok c nhé,agree
Alô alô,greet
Shop ơi còn teknum 2017 màu xanh ko vậy,query_knowledge_base
bạn ơi  có giảm giá  xe đẩy  vovo  1 chiều gập siêu gọn ko,query_knowledge_base
Alo chị ơi,greet
Alo Shop ơi?,greet
chatbot ạ?,ask_is_bot
ok b mình cảm ơn nhiều nhé,thank
"Con này bằng nhựa hay sao shop, mà phải bom hơi ạ",query_knowledge_base
Thảm này nặng bao nhiu,query_knowledge_base
Cảm ơn B,thank
Hi shop!,greet
Vâng ksao ạ,agree
ghe nay nang khoang 3kg khong,query_knowledge_base
ko phải ý m nói b bán lấy lời đồ gì đâu,disagree
là xuất xứ nước nào vậy b?,query_knowledge_base
Cái như ảnh mình gửi ấy. Chứ mẫu b gửi mình k thích,disagree
Còn cầu trượt sích đu bập bênh nữa ạ,query_knowledge_base
Dạ c oi,greet
K phải hình lúc giác đâu,disagree
E cám ơn chị ạ😀,thank
Bán ơi,greet
Đúng rồi cậu ạ,agree
Dạ vâng cg đc ạ,agree
Cảm ơn chị ạ,thank
alo alo shop,greet
Dạ cám ơn b ạ,thank
Vâng ok B,agree
aloooo shop ơiiii,greet
K phai khăm sưa đâu ạ,disagree
mà e k thichs màu hồng,disagree
Gấu Bí ơi,greet
Cám ơn admin nhé,thank
cho mình xin kích thước nhé,query_knowledge_base
con này nó nặng bao nhiêu cân hả bạn,query_knowledge_base
Mình ko thích mua qua trung gian,disagree
Vâng. E cũng thích chọn màu,agree
có màu gì vậy bạn,query_knowledge_base
Hi shoo oi,greet
Vâng bạn ạ,agree
"Cám ơn sh nha, nhìn vậy thui chứ nó quậy dữ thần luôn á",thank
Aloz,greet
Cho m cam on nhieu nhe,thank
Ok b. M cân nhắc tý nhé. Cám ơn b.,thank
thương hiệu của nước nào b,query_knowledge_base
bộ đủ có xích đu  có cầu trượt cần diện tích bn bạn nhỉ,query_knowledge_base
Da thank bạn,thank
à đúng rồi đó ạ,agree
nguoi hay chatbot?,ask_is_bot
Xe có bảo hành đg k ạ,query_knowledge_base
"Bn ơi,",greet
Alo bạn iiw,greet
bé hơn 1 tuổi dùng đc ko,query_knowledge_base
Chứ k phải ghi đỏ,disagree
Alb oi,greet
Ok thanks em. Để c tìm hiểu thêm nhé,thank
của hãng nào ạ?,query_knowledge_base
của hãng nào thế ạ,query_knowledge_base
Dạ đúng roi,agree
Thank u chị nha,thank
"Vâng, nhận qua viettel",agree
ok e chị cảm ơn nhé,thank
"Hi, shop",greet
Shop ơi shop,greet
Vcb ấy ơi,greet
"Alo shop
Oi",greet
auto tra loi ha shop,ask_is_bot
K phải như shop đăng đâu,disagree
hi em,greet
Da dung roi sh,agree
Cho m 1c balo này nhé,query_knowledge_base
Dạ v e cám ơn c .,thank
N oie,greet
xe này của nước nào hả bạn?,query_knowledge_base
Vâng c 😂,agree
Ok e c cảm ơn,thank
Uh m muốn hỏi thanh chắn giường 2 miếng 2m vs 1 miếng 1m8,query_knowledge_base
B oi đay,greet
Avent hoa tuyết giá Bn b,query_knowledge_base
thee cái joie với cái zaracos này cái nào nhẹ hơn b,query_knowledge_base
Thú nhún cho mình 1 bạn mày hồng,query_knowledge_base
Alonshop ơi,greet
c oi cho e xin gia 3 mẫu gh  ăn dặm nàyvoi,query_knowledge_base
Ko phải thảm chơi,disagree
😂😂😂 vâng.,agree
Loại này m k thích rồi,disagree
"Alo, shop ơi",greet
"ừa , gói hàng cẩn thận cho tớ nhé,",agree
cái này của hãng nào vậy mình,query_knowledge_base
ghe nay  chac nhe nhi,query_knowledge_base
Ib minh gia thanh chặn cầu thang nha,query_knowledge_base
Màu ghi chứ ko phải trắng ạ,disagree
Ghế mastela có nhiều loại k,query_knowledge_base
Có phải người không?,ask_is_bot
Cảm ơn b nhé. Để m tham khảo thêm,thank
Dạ vâng oki c ạ,agree
người đẹp ơi,greet
Alooo aloooo,greet
À ừ ok b,agree
Okie thanks c ạ,thank
alo nan oi,greet
alo!,greet
ah bạn oie,greet
Alo !,greet
:(( mình k muốn lấy mẫu chữ cái,disagree
K phải chặn cầu thg e ơi,disagree
alo v,greet
Aloo,greet
Ok bạn thanks bạn nha,thank
Được bảo hành k ạ,query_knowledge_base
cho m hỏi gh  ô tô cho bé từ 0t,query_knowledge_base
Oki e cảm ơn chị,thank
Cám ơn sh.mk đặt rồi nha,thank
OK m cảm ơn b nhé,thank
cái này bn shop ơi,query_knowledge_base
Mà mìh ko muốn lấy màu hồg,disagree
ALO B OI,greet
thảm sàn màu ngẫu nhien hả b,query_knowledge_base
shop oi bot a?,ask_is_bot
Vâng ạ. Có gì e đặt hàng sau ạ,agree
ah ok thanks shop,thank
Dạ vâng ah!,agree
Hi mom,greet
Bạn oei bộ này là size gì,query_knowledge_base
K phải hãng,disagree
Vâng thế cug dc ah,agree
bạn ơi cho hỏi hàng này xuất xứ đâu vậy?,query_knowledge_base
Ng ơi,greet
Alo alo,greet
Ko phải hàng trung,disagree
K phải hằng túi c ạ,disagree
Alo sop,greet
ca phao co xanh,query_knowledge_base
"Vâng ạ để e tham khảo xem, e cảm ơn",thank
cho c xin lại hình ảnh thảm em giao,query_knowledge_base
Bi Ngô ơi.,greet
De minh can nhac lai. Thanks shop,thank
vâng oki shop,agree
Chat voi nguoi hay chatbot vay?,ask_is_bot
bot a shop oi,ask_is_bot
alo?,greet
Alo s,greet
Chứ k muốn mua full bộ,disagree
Ko phải hồng cam đâu,disagree
Báo giá cả phao cổ giúp mình nhé,query_knowledge_base
M cam on b,thank
cái này của mỹ sx hay china  hả b,query_knowledge_base
hì shop,greet
alo c ơiii,greet
bé hơn 1 tuổi sử dụng dc chưa shop,query_knowledge_base
T k thích đỏ,disagree
alo B ơi,greet
b ơi cho mình xin giá bể tắm thành cao vs thảm xốp nhé,query_knowledge_base
Đang chat với bot hay người thế?,ask_is_bot
dung roi ak,agree
"À đó, đúng rồi",agree
À ừ đúng e,agree
"hihi, vâng ạ",agree
"gửi giao tại nhà nha, cảm ơn ấy",thank
Máy hay người vậy shop?,ask_is_bot
ok cảm ơn shop để về bàn vs bà xã đã,thank
Vâng c tư vấn cho e máy tiệt trùng và cả máy hâm nhé,query_knowledge_base
"ok à, cảm ơn b",thank
Shop su dung chatbot a,ask_is_bot
ko phải màu hồng đâu shop,disagree
Vậy cho tớ cái của hàn,query_knowledge_base
He vâng,agree
Aloo shop ơi,greet
Ko phải. Mình có việc,disagree
Shop cho m cam on nhieu nha,thank
Vâng để e tham khảo có gì e báo shop,agree
Co phai chatbot ko,ask_is_bot
Ak. Vâng a,agree
Hi chị,greet
chatbot a shop oi,ask_is_bot
mà e ui,greet
alo bạn oưi,greet
Aloo ad ơi,greet
Vâng để e xem,agree
alo bạn ơi,greet
ah vậy hả bạn cho m link nha,query_knowledge_base
alo em oi,greet
Bạnh ơi,greet
alo ahop,greet
Có đc tặng quà j kèm ah,query_knowledge_base
Vâng. Để mình xem thêm ạ,agree
"Ghế đẹp lắm cậu, cám ơn cậu nhiều nha",thank
Này use cho bé mấy tháng tuổi v shop,query_knowledge_base
Cũng ko phải vậy,disagree
Shop ơi ng hay bot the ah?,ask_is_bot
Ah! Vâng,agree
Okie shop m cảm ơn nhé,thank
Vâng.  Ko có gì nè,agree
Alo. Shop ơi?,greet
Mà con này cho mấy tuổi chơi,query_knowledge_base
Mấy màu thảm này tớ ko thích,disagree
vâng thanks c nhé,thank
vâg e cảm ơn,thank
1 chắn m5 1 chắn 2m,query_knowledge_base
Chatbot à shop ơi,ask_is_bot
Thank b nha,thank
vâng oki c nhé,agree
hàng của hãng nào thế bạn,query_knowledge_base
ghế này của trung quốc sx hả b,query_knowledge_base
Ok em cam on shop a,thank
Đúng rồi c ơi,agree
Mình k thích màu ghi,disagree
Mẫu này nhiêu vậy s,query_knowledge_base
Alo chị!,greet
U ko thích mua bên shopee,disagree
Cám ơn ạk :D,thank
Vâng được ạ,agree
1 6shop có giảm giá gh  rung  máy hút sữa avent và máy hâm sữa  máy tiệt trùng sấy fazt ko ạ,query_knowledge_base
alo alo alo,greet
Da vang. E cam on nhe. De e tham khao them,thank
Dạ cho mình hỏi giá bể dựng thành cao này ạ,query_knowledge_base
" ""Bể đó giá nhiêu, bao gồm những vật dụng gì kèm theo""",query_knowledge_base
alô shop,greet
Vâng. Thank you,thank
Tớ k thích màu hồng,disagree
Xe đấy chứ ko phải xe đẩy bạn ạ,disagree
Nhưng ko thích màu này,disagree
Thanks pan đa tu van giup minh nhe,thank
Ko phải xe kia đâu,disagree
Vâng ah mh nhìn nhầm,agree
Đúng rồi c à,agree
OK thanks nhe,thank
cái này của hãng nào sho0,query_knowledge_base
Shop có máy nghe nhạc cho bé ko,query_knowledge_base
Cảm ơn !,thank
Hi c ơi,greet
"Đúng rồi, hàng chính hãng là yên tâm rồi",agree
bộ này của hãng nào vậy?,query_knowledge_base
shop oi nguoi hay chatbot the ah,ask_is_bot
chứ ko phải ngả ko ý,disagree
Hi ban oi,greet
Alo shop ơi!,greet
"Alo c ơi,hic",greet
Vâng để khi nào t quay lại,agree
A ý minh ko phai là shop bán đắt mà là giá e nay cao so vs mong muốn của minh aya,disagree
Mẫu 1 c ko thích em ạ,disagree
Cảm ơn B nhiều nhé,thank
Be k thich,disagree
À. Vâng e chưa đọc kĩ,agree
Bot hay nguoi?,ask_is_bot
sp này của nước nào sx ạ,query_knowledge_base
Địu ngồi đang giảm còn bn bạn,query_knowledge_base
"Ah, thanks ban nha",thank
Có mẫu nào hình ảnh dành cho bé gái k ah,query_knowledge_base
B ơi cho mình chiếc màu xanh nhea,query_knowledge_base
Ghế ăn dặm mastela shop vừa dsawng giá bn vậy ạ,query_knowledge_base
Chứ k phải 40,disagree
hi ban,greet
Đúng rồi mình dùng bidv,agree
cnay là của hãng nào vậy b?,query_knowledge_base
Da vang. Thanks shop a,thank
alo??,greet
SHOP OIW,greet
K phải bô,disagree
Ko phải ạ,disagree
à gh  rung e có loại nào rẻ nhất,query_knowledge_base
alo shop ơiiii,greet
Ý mình ko phải túi trữ sữa,disagree
Có link shopee ko b nhỉ,query_knowledge_base
bn á c,query_knowledge_base
Thế cho mình thảm hình con khỉ nhé,query_knowledge_base
Mà con này cho mấy tuổi chơi,query_knowledge_base
Thank chị😁😘,thank
Shol ưi,greet
"M ko thích loại tròn này tới , m thích loại kia , mà hết khuyến mãi rồi hà",disagree
"""alo",greet
Alo a,greet
Chứ k phải loại dựa ra sau,disagree
mh cảm ơn,thank
shop oi????,greet
Vâng nhanh giúp em để em về với,agree
Chứ k phải thanh chắn,disagree
Alo em ơiii,greet
Shop có link shopee k,query_knowledge_base
hi s,greet
của hãng nào thế c,query_knowledge_base
Vâng ạ. Có gì e sẽ qua shop xem và lấy hàng ạ,agree
Vâng e hay mua bên mình đó 😊,agree
e đag thích cái gh  ăn dặm  aricare có đc khuy n mãi hay giá tốt k c,query_knowledge_base
ak c ơi,greet
ko đc bạn ạ,disagree
Alooiii,greet
loại của hãng nào đấy bạn,query_knowledge_base
Thank shop ah!minh nhan dc hag oy,thank
Aloo chị,greet
đúng ròi,agree
đúng roi em,agree
Uh dung roi baan,agree
Thank b đã đăng dùm nha,thank
xe đẩy này dùng đc cho bé đến mấy kg nhỉ,query_knowledge_base
Alo sho0,greet
Đúng rồi nha,agree
tớ lấy cho con trai  có những màu gì b,query_knowledge_base
Ah uh c quên,agree
Alo shop?,greet
Alop,greet
alooooooooooooooooooo,greet
Nhg m ko thich quay tròn,disagree
không phải loại này đâu,disagree
Vâng. Cảm ơn b có gì liên lạc sau nhé,thank
Ck mình k thích,disagree
"E mua dc roi, cam on shop",thank
bot hả,ask_is_bot
Vâng.để e tham khảo thêm nhé,agree
vậy cảm ơn shop,thank
Ok. Cảm ơn b nhé.,thank
alooo,greet
Thảm này thì là chất liệu gì hả shop?,query_knowledge_base
Thủy ơi,greet
Ok e cám ơn nhé,thank
vâng. e cảm ơn c nhiều 😊,thank
k phải,disagree
đung rồi tinh lun b,agree
bạn ơi every stask about age giá bn ạ,query_knowledge_base
báo giá m chi c này luôn,query_knowledge_base
Oki b. Để m gọi. M cảm ơn b nhé,thank
bộ này có sẵn k bạn,query_knowledge_base
Cơ mà ko phải thanh bằng gỗ ạ hic,disagree
alo shop?,greet
Thế ship giúp mình 1 bể đó và 1 ghế ăn dặm kia màu xanh nhé,query_knowledge_base
Vâng c cho em lấy luôn ạ,agree
chê ơiii,greet
Vâng. Chị ship sớm giúp em.,agree
Alô ạ,greet
gh  này chất liệu gì,query_knowledge_base
2 đầu chữ Y - không phải thanh nối,disagree
Alo bạn,greet
Vâng có gì mình ib nha,agree
Thanks b nh!,thank
dạ chị ơi nayz hãng nào vậy ạ. và nó có chắc chăn ko ạ.,query_knowledge_base
"ok shop, cảm ơn shop nhen.",thank
bot hả?,ask_is_bot
cho mình hỏi giá thanh chắn giường với ạ,query_knowledge_base
Bao nhiêu kg vay s,query_knowledge_base
Dạ em cảm on Chị Thuy,thank
Hihi Chị ơiii,greet
dạ e cám ơn,thank
Vâng. Ok b nhé,agree
Mau nay gia bao nhieu vay shop ah,query_knowledge_base
Ko phải chuẩn này,disagree
Ah vay minh cam on,thank
Alo shop ak,greet
có những màu gì bn nhỉ,query_knowledge_base
Dạ. Thanks sh,thank
Còn cốc này k ạ,query_knowledge_base
Hàn có màu gì,query_knowledge_base
k phải xì hơi,disagree
Chỉ quây vs ngựa thì giá bn ạ,query_knowledge_base
Hì hì,greet
K phải xe chòi chân bạn ạ,disagree
Alo ship ơi,greet
Giá bộ này ntn ạ?,query_knowledge_base
Gối là gối sợi tre đó hả c?,query_knowledge_base
có màu cho chọn hok nè,query_knowledge_base
Chỉ k thích màu trắng thui,disagree
Mình muốn đặt chậu tắm màu xanh,query_knowledge_base
Vâng m đã đặt trên shopee rồi,agree
M CẢM ƠN,thank
a núm bình sữa của hãng nào nhỉ,query_knowledge_base
Aloaloalo,greet
xanh hồng ntn bạn ơi,query_knowledge_base
Mà chi oi,greet
Alooo b ơiii,greet
Thanks shop. Có gì m nhắn sau nha,thank
Người hay chatbot?,ask_is_bot
đúng roi ạ,agree
Cảm ơn sop mình đặt hàng rồi,thank
Đen k dc thích lắm,disagree
Alo shop ói,greet
E ko muốn lấy đen,disagree
Minh cam on shop nha,thank
T cảm ơn bạn,thank
Bộ trang điểm chất liệu j shop?,query_knowledge_base
1 xích đu k thì bn,query_knowledge_base
Cho minh màu xanh da troi nhe,query_knowledge_base
hàng của nước nào s,query_knowledge_base
Da cảm ơn ạ,thank
chatbot hay ng?,ask_is_bot
của nước nào e,query_knowledge_base
K phải bồn tắm,disagree
cho e xin chi ti t gh  rung cho bé với ạh,query_knowledge_base
Àh uh,agree
Đúng rồi bao t b,agree
" ""Báo mình giá kt 1,8x2m""",query_knowledge_base
"Đúng rồi bạn, nôi summer đó",agree
Chi ưi,greet
Xe này choi đc đến mấy tuổi b,query_knowledge_base
vâng minh biet la de lau qua,agree
DẠ VÂNG Ạ,agree
alo a,greet
"À không,ý mình k phải vậy",disagree
Ko loại jone chứ ko phải chicco ạ,disagree
Vâng ạk,agree
"Vâng, m biết khu ấy rồi",agree
Tiewnf ko phải là vấn đề,disagree
Vâng. Ko sao ạ,agree
hola là của nước nào bạn,query_knowledge_base
Bạn ơi ghế mige 3 tháng xài được chưa?,query_knowledge_base
aloa,greet
gửi link shope của thảm cho m nhé,query_knowledge_base
aloo chào shop,greet
Hi shop.,greet
Ok mh cảm ơn nha,thank
"""Đang giảm giá 4,2 tr đó hả b""",query_knowledge_base
Nguoi hay may vay shop?,ask_is_bot
Alo b ới,greet
Tớ ko thích màu xanh mấy,disagree
Cao b ui,greet
Vâng ạ hihi.,agree
Vâng thế để e lấy qua shopee vậy ạ,agree
Chat bot hay nhan vien?,ask_is_bot
Ah . Vâng,agree
Người hay máy đấy hả sh?,ask_is_bot
Alo shop oi,greet
Uh thanks b nhé,thank
Alo ?,greet
Ok ạ thanks bạn nhé,thank
Vâng b. Cũng trễ quá rồi,agree
Chất liệu là j ah? Có cầu tuột vs thảm đầy đủ hok?,query_knowledge_base
à cảm ơn b nha,thank
Cảm ơn bạn nhea,thank
Vải chắn làm bằng chất liệu gì vậy,query_knowledge_base
xuất xứ nước nào ạ,query_knowledge_base
b ơiiiii,greet
Ok.cam on nhe,thank
Chatbot hay nhân viên?,ask_is_bot
"Okie, thanks b",thank
alo shop oi,greet
Lấy mình con voi xám nha,query_knowledge_base
bộ xích đu cầu trượt nhà mình giá bn,query_knowledge_base
bot hay nhan vien vay?,ask_is_bot
"ừ thế ok rồi, tớ nhờ banj tớ mai qa mua ở shop rồi",agree
Dạ vâng. Hihi,agree
auto reply a shop oi,ask_is_bot
Alo ad ơi,greet
"vâng, e sẽ làm thế",agree
C ơi?,greet
m cam on nha,thank
xuất xứ và thương hiệu ntn ạ,query_knowledge_base
bot hay nhan vien?,ask_is_bot
Hi shop ơi,greet
okie mình cảm ơn nha,thank
xe này bánh nhựa hay caosu vậy shop?,query_knowledge_base
Dạ vâng ạ. Ko sao c ạ,agree
đúng ròi bạn,agree
Vâng ok shop ạ,agree
Uhm dung roi,agree
Ko phai loai nay ban,disagree
K phải xe đó r,disagree
Hi ukie e,greet
"Alo
Ạ",greet
kích thước thảm bn vậy shop,query_knowledge_base
b ơii!?,greet
B ơi giá máy pha sữa Tiny Baby như nào b nhỉ,query_knowledge_base
Vâng . Ktra kĩ r ak,agree
Ok 👍 cảm ơn bạn,thank
"alo, chào ban",greet
"Mình cảm ơn nhé, mình sẽ qua shop xem",thank
hàng nước nào b,query_knowledge_base
Ko phải mẫu,disagree
Bằng nhựa j vậy bạn,query_knowledge_base
có màu tím với xanh đen bạn nhỉ,query_knowledge_base
B ơi cho m 2 set thảm này nhé,query_knowledge_base
Vâng bạn ah,agree
xuất xứ dau ah,query_knowledge_base
e ko thích màu đen lắm,disagree
" Cho em xin giá ghế ăn dặm beiquy ạ""",query_knowledge_base
b oi binh giu nhiet la cua nuoc nao sx b,query_knowledge_base
Hi !,greet
Dung roib,agree
Vâng đấy,agree
Chứ k phải quây tròn,disagree
xe đấy nc nào sx bạn nhỉ,query_knowledge_base
ok b m cảm ơn nha :),thank
Cảm ơn shop nhiều nhen,thank
Trả lời tự động à shop?,ask_is_bot
Alo e êi,greet
Ko phải dây topping. =.=,disagree
"He he, thanks cậu",thank
"Có j e nhờ c nha,thanks c ah ^^",thank
Ko phải bể này,disagree
Hi chii,greet
vâng thế để e qua vậy,agree
K phải,disagree
xe này của hàng j nước nào vậy ạ?,query_knowledge_base
alo alo ạ,greet
Vâng e trả giá r ạ,agree
hi shop <3,greet
Vâng oki bạn ạ,agree
"Vâng, thank chị",thank
Ý minhd là ko phải mẫu này,disagree
ừa.:),agree
vâng ks e hỏi vậy thôi ạ,agree
xe của nước nào sản xuất vậy b,query_knowledge_base
"cám ơn shop nhé, có gì mình sẽ liên hệ",thank
Dạ e cám ơn vài ngày nữa e gửi bill cho c nhé,thank
C ơi e 1 cái này ghi xám,query_knowledge_base
Vâng màu trắng cũng đc,agree
K phải nôi rung cao cấp ý,disagree
Hì b,greet
A chị ơi,greet
xe đó là của nước nào v shop,query_knowledge_base
cảm ơn shop heno,thank
của nước nào vâyh ạ,query_knowledge_base
2 kiểu đo tớ không thích,disagree
Cho e xin giá lun nha add,query_knowledge_base
Z thui minh cam on,thank
alo chị ưii,greet
À vâng.e hiểu rồi,agree
ok b m cảm ơn nha,thank
chứ k phải nên gỗ,disagree
Hi c,greet
alo alo ak,greet
a ơi,greet
Alo bạn ơiiiii,greet
"Vâng , để e tham khảo thêm giá ạ",agree
chatbot a?,ask_is_bot
Ko phải đệm lò xo,disagree
Ko phải,disagree
K phải e này,disagree
aloAlo,greet
Vâng e cảm ợ,agree
"Alo, shoi",greet
Minh k thich may mau moi nay,disagree
"Uki, cảm ơn b",thank
ghế hãng này của nước nào vậy b ơi,query_knowledge_base
Cho m hỏi giá nhé,query_knowledge_base
alo gái oi,greet
Dày ko e,query_knowledge_base
Oke t cám ơn,thank
Alo Alo,greet
A xậu ơi,greet
Đúng rồi chị,agree
Cji oi,greet
Vâng ngóg qá,agree
Minh k thich lam vi no thap,disagree
Aloo bạn oi,greet
hq sản xuất hay là xuất hàn vậy,query_knowledge_base
"Alooo,",greet
alo em,greet
K phải bạn nam,disagree
Hi e oi,greet
Alo???,greet
báo giá giúp mình xe đẩy vovo và vinng với ạ,query_knowledge_base
chatbot?,ask_is_bot
Chứ ko phải hình đầu tiên mình gửi,disagree
Càu trượt cao k ạ,query_knowledge_base
Cho t 1 túi này b,query_knowledge_base
vâng đúng r ạ,agree
Đang chat với chatbot hay người thế?,ask_is_bot
"Alo,b ơi",greet
Chứ k phải cục thành phố ý,disagree
hi sh,greet
Dạ vâng ạ. Cảm ơn bạn,thank
Vâng ok shop ak,agree
Oki ạ. Cảm ơn shop ^^,thank
alo shop ơiii,greet
"Vâng, đúng rồi",agree
gối của đâu sản xuất shop,query_knowledge_base
Giá nhiu ak,query_knowledge_base
Aloo shop,greet
Dạ ! Đúng rồi,agree
bạn chụp cho mình xin hình ảnh của xe đẩy  màu hồng đậm với,query_knowledge_base
E cảm ơn a,thank
